id,x,y,prob
1,-2.6,-2,3.55E-05
2,-2.5,-2,3.05E-05
3,-2.4,-2,2.63E-05
4,-2.3,-2,2.27E-05
5,-2.2,-2,1.96E-05
6,-2.1,-2,1.69E-05
7,-2,-2,1.47E-05
8,-1.9,-2,1.27E-05
9,-1.8,-2,1.11E-05
10,-1.7,-2,9.62E-06
11,-1.6,-2,8.37E-06
12,-1.5,-2,7.30E-06
13,-1.4,-2,6.38E-06
14,-1.3,-2,5.61E-06
15,-1.2,-2,4.96E-06
16,-1.1,-2,4.47E-06
17,-1,-2,4.15E-06
18,-0.9,-2,4.10E-06
19,-0.8,-2,4.45E-06
20,-0.7,-2,5.48E-06
21,-0.6,-2,7.63E-06
22,-0.5,-2,1.16E-05
23,-0.4,-2,1.82E-05
24,-0.3,-2,2.84E-05
25,-0.2,-2,4.21E-05
26,-0.1,-2,5.86E-05
27,0,-2,7.63E-05
28,0.1,-2,9.36E-05
29,0.2,-2,0.000109534
30,0.3,-2,0.00012417
31,0.4,-2,0.000137759
32,0.5,-2,0.000150652
33,0.6,-2,0.000163044
34,0.7,-2,0.000174825
35,0.8,-2,0.000185393
36,0.9,-2,0.000193363
37,1,-2,0.000196224
38,1.1,-2,0.000190352
39,1.2,-2,0.00017235
40,1.3,-2,0.00014222
41,1.4,-2,0.00010568
42,1.5,-2,7.13E-05
43,1.6,-2,4.46E-05
44,1.7,-2,2.65E-05
45,1.8,-2,1.53E-05
46,1.9,-2,8.71E-06
47,2,-2,4.91E-06
48,2.1,-2,2.75E-06
49,2.2,-2,1.54E-06
50,2.3,-2,8.62E-07
51,2.4,-2,4.83E-07
52,2.5,-2,2.71E-07
53,2.6,-2,1.52E-07
54,2.7,-2,8.56E-08
55,2.8,-2,4.85E-08
56,2.9,-2,2.77E-08
57,3,-2,1.61E-08
58,3.1,-2,9.86E-09
59,3.2,-2,6.81E-09
60,3.3,-2,5.95E-09
61,3.4,-2,6.99E-09
62,3.5,-2,1.03E-08
63,3.6,-2,1.69E-08
64,3.7,-2,2.91E-08
65,3.8,-2,5.08E-08
66,3.9,-2,8.92E-08
67,4,-2,1.57E-07
68,4.1,-2,2.76E-07
69,4.2,-2,4.86E-07
70,-2.6,-1.95,4.81E-05
71,-2.5,-1.95,4.13E-05
72,-2.4,-1.95,3.55E-05
73,-2.3,-1.95,3.06E-05
74,-2.2,-1.95,2.64E-05
75,-2.1,-1.95,2.29E-05
76,-2,-1.95,1.98E-05
77,-1.9,-1.95,1.72E-05
78,-1.8,-1.95,1.49E-05
79,-1.7,-1.95,1.29E-05
80,-1.6,-1.95,1.13E-05
81,-1.5,-1.95,9.82E-06
82,-1.4,-1.95,8.57E-06
83,-1.3,-1.95,7.52E-06
84,-1.2,-1.95,6.64E-06
85,-1.1,-1.95,5.94E-06
86,-1,-1.95,5.47E-06
87,-0.9,-1.95,5.30E-06
88,-0.8,-1.95,5.61E-06
89,-0.7,-1.95,6.69E-06
90,-0.6,-1.95,9.07E-06
91,-0.5,-1.95,1.35E-05
92,-0.4,-1.95,2.12E-05
93,-0.3,-1.95,3.31E-05
94,-0.2,-1.95,4.97E-05
95,-0.1,-1.95,7.02E-05
96,0,-1.95,9.26E-05
97,0.1,-1.95,0.000114936
98,0.2,-1.95,0.000135782
99,0.3,-1.95,0.000154889
100,0.4,-1.95,0.000172563
101,0.5,-1.95,0.000189253
102,0.6,-1.95,0.000205256
103,0.7,-1.95,0.000220516
104,0.8,-1.95,0.000234402
105,0.9,-1.95,0.00024537
106,1,-1.95,0.000250515
107,1.1,-1.95,0.000245447
108,1.2,-1.95,0.000225561
109,1.3,-1.95,0.000189723
110,1.4,-1.95,0.000143876
111,1.5,-1.95,9.87E-05
112,1.6,-1.95,6.26E-05
113,1.7,-1.95,3.76E-05
114,1.8,-1.95,2.18E-05
115,1.9,-1.95,1.24E-05
116,2,-1.95,7.02E-06
117,2.1,-1.95,3.94E-06
118,2.2,-1.95,2.21E-06
119,2.3,-1.95,1.24E-06
120,2.4,-1.95,6.94E-07
121,2.5,-1.95,3.89E-07
122,2.6,-1.95,2.19E-07
123,2.7,-1.95,1.24E-07
124,2.8,-1.95,7.01E-08
125,2.9,-1.95,4.02E-08
126,3,-1.95,2.36E-08
127,3.1,-1.95,1.46E-08
128,3.2,-1.95,1.04E-08
129,3.3,-1.95,9.58E-09
130,3.4,-1.95,1.18E-08
131,3.5,-1.95,1.77E-08
132,3.6,-1.95,2.95E-08
133,3.7,-1.95,5.09E-08
134,3.8,-1.95,8.89E-08
135,3.9,-1.95,1.56E-07
136,4,-1.95,2.74E-07
137,4.1,-1.95,4.83E-07
138,4.2,-1.95,8.50E-07
139,-2.6,-1.9,6.51E-05
140,-2.5,-1.9,5.59E-05
141,-2.4,-1.9,4.80E-05
142,-2.3,-1.9,4.14E-05
143,-2.2,-1.9,3.57E-05
144,-2.1,-1.9,3.09E-05
145,-2,-1.9,2.67E-05
146,-1.9,-1.9,2.31E-05
147,-1.8,-1.9,2.01E-05
148,-1.7,-1.9,1.74E-05
149,-1.6,-1.9,1.52E-05
150,-1.5,-1.9,1.32E-05
151,-1.4,-1.9,1.15E-05
152,-1.3,-1.9,1.01E-05
153,-1.2,-1.9,8.88E-06
154,-1.1,-1.9,7.92E-06
155,-1,-1.9,7.23E-06
156,-0.9,-1.9,6.90E-06
157,-0.8,-1.9,7.12E-06
158,-0.7,-1.9,8.23E-06
159,-0.6,-1.9,1.08E-05
160,-0.5,-1.9,1.59E-05
161,-0.4,-1.9,2.46E-05
162,-0.3,-1.9,3.86E-05
163,-0.2,-1.9,5.85E-05
164,-0.1,-1.9,8.37E-05
165,0,-1.9,0.000112109
166,0.1,-1.9,0.000140823
167,0.2,-1.9,0.000167968
168,0.3,-1.9,0.000192915
169,0.4,-1.9,0.000215925
170,0.5,-1.9,0.000237552
171,0.6,-1.9,0.000258224
172,0.7,-1.9,0.000277966
173,0.8,-1.9,0.000296136
174,0.9,-1.9,0.000311018
175,1,-1.9,0.00031928
176,1.1,-1.9,0.000315659
177,1.2,-1.9,0.000294123
178,1.3,-1.9,0.000251987
179,1.4,-1.9,0.000195032
180,1.5,-1.9,0.000136362
181,1.6,-1.9,8.77E-05
182,1.7,-1.9,5.31E-05
183,1.8,-1.9,3.10E-05
184,1.9,-1.9,1.78E-05
185,2,-1.9,1.00E-05
186,2.1,-1.9,5.65E-06
187,2.2,-1.9,3.17E-06
188,2.3,-1.9,1.78E-06
189,2.4,-1.9,9.98E-07
190,2.5,-1.9,5.61E-07
191,2.6,-1.9,3.16E-07
192,2.7,-1.9,1.79E-07
193,2.8,-1.9,1.02E-07
194,2.9,-1.9,5.84E-08
195,3,-1.9,3.45E-08
196,3.1,-1.9,2.19E-08
197,3.2,-1.9,1.61E-08
198,3.3,-1.9,1.55E-08
199,3.4,-1.9,1.99E-08
200,3.5,-1.9,3.06E-08
201,3.6,-1.9,5.14E-08
202,3.7,-1.9,8.89E-08
203,3.8,-1.9,1.56E-07
204,3.9,-1.9,2.73E-07
205,4,-1.9,4.80E-07
206,4.1,-1.9,8.45E-07
207,4.2,-1.9,1.49E-06
208,-2.6,-1.85,8.83E-05
209,-2.5,-1.85,7.56E-05
210,-2.4,-1.85,6.50E-05
211,-2.3,-1.85,5.59E-05
212,-2.2,-1.85,4.82E-05
213,-2.1,-1.85,4.17E-05
214,-2,-1.85,3.60E-05
215,-1.9,-1.85,3.12E-05
216,-1.8,-1.85,2.70E-05
217,-1.7,-1.85,2.35E-05
218,-1.6,-1.85,2.04E-05
219,-1.5,-1.85,1.78E-05
220,-1.4,-1.85,1.55E-05
221,-1.3,-1.85,1.35E-05
222,-1.2,-1.85,1.19E-05
223,-1.1,-1.85,1.06E-05
224,-1,-1.85,9.57E-06
225,-0.9,-1.85,9.01E-06
226,-0.8,-1.85,9.09E-06
227,-0.7,-1.85,1.02E-05
228,-0.6,-1.85,1.30E-05
229,-0.5,-1.85,1.87E-05
230,-0.4,-1.85,2.87E-05
231,-0.3,-1.85,4.49E-05
232,-0.2,-1.85,6.87E-05
233,-0.1,-1.85,9.96E-05
234,0,-1.85,0.000135199
235,0.1,-1.85,0.000172037
236,0.2,-1.85,0.000207313
237,0.3,-1.85,0.000239874
238,0.4,-1.85,0.000269853
239,0.5,-1.85,0.000297906
240,0.6,-1.85,0.000324623
241,0.7,-1.85,0.000350146
242,0.8,-1.85,0.000373837
243,0.9,-1.85,0.000393812
244,1,-1.85,0.000406263
245,1.1,-1.85,0.000404952
246,1.2,-1.85,0.000382173
247,1.3,-1.85,0.000333227
248,1.4,-1.85,0.00026319
249,1.5,-1.85,0.000187584
250,1.6,-1.85,0.000122441
251,1.7,-1.85,7.50E-05
252,1.8,-1.85,4.41E-05
253,1.9,-1.85,2.53E-05
254,2,-1.85,1.44E-05
255,2.1,-1.85,8.10E-06
256,2.2,-1.85,4.55E-06
257,2.3,-1.85,2.56E-06
258,2.4,-1.85,1.44E-06
259,2.5,-1.85,8.08E-07
260,2.6,-1.85,4.56E-07
261,2.7,-1.85,2.58E-07
262,2.8,-1.85,1.47E-07
263,2.9,-1.85,8.52E-08
264,3,-1.85,5.08E-08
265,3.1,-1.85,3.28E-08
266,3.2,-1.85,2.52E-08
267,3.3,-1.85,2.54E-08
268,3.4,-1.85,3.38E-08
269,3.5,-1.85,5.31E-08
270,3.6,-1.85,8.96E-08
271,3.7,-1.85,1.55E-07
272,3.8,-1.85,2.72E-07
273,3.9,-1.85,4.78E-07
274,4,-1.85,8.41E-07
275,4.1,-1.85,1.48E-06
276,4.2,-1.85,2.60E-06
277,-2.6,-1.8,0.000119761
278,-2.5,-1.8,0.000102439
279,-2.4,-1.8,8.79E-05
280,-2.3,-1.8,7.56E-05
281,-2.2,-1.8,6.52E-05
282,-2.1,-1.8,5.62E-05
283,-2,-1.8,4.86E-05
284,-1.9,-1.8,4.21E-05
285,-1.8,-1.8,3.64E-05
286,-1.7,-1.8,3.16E-05
287,-1.6,-1.8,2.75E-05
288,-1.5,-1.8,2.39E-05
289,-1.4,-1.8,2.08E-05
290,-1.3,-1.8,1.82E-05
291,-1.2,-1.8,1.59E-05
292,-1.1,-1.8,1.41E-05
293,-1,-1.8,1.27E-05
294,-0.9,-1.8,1.18E-05
295,-0.8,-1.8,1.17E-05
296,-0.7,-1.8,1.27E-05
297,-0.6,-1.8,1.58E-05
298,-0.5,-1.8,2.20E-05
299,-0.4,-1.8,3.34E-05
300,-0.3,-1.8,5.22E-05
301,-0.2,-1.8,8.04E-05
302,-0.1,-1.8,0.000117981
303,0,-1.8,0.000162476
304,0.1,-1.8,0.000209519
305,0.2,-1.8,0.00025524
306,0.3,-1.8,0.00029771
307,0.4,-1.8,0.000336791
308,0.5,-1.8,0.000373216
309,0.6,-1.8,0.000407768
310,0.7,-1.8,0.000440748
311,0.8,-1.8,0.000471556
312,0.9,-1.8,0.000498132
313,1,-1.8,0.000516154
314,1.1,-1.8,0.000518291
315,1.2,-1.8,0.000494905
316,1.3,-1.8,0.000438758
317,1.4,-1.8,0.000353525
318,1.5,-1.8,0.000256984
319,1.6,-1.8,0.000170479
320,1.7,-1.8,0.000105634
321,1.8,-1.8,6.26E-05
322,1.9,-1.8,3.61E-05
323,2,-1.8,2.06E-05
324,2.1,-1.8,1.16E-05
325,2.2,-1.8,6.54E-06
326,2.3,-1.8,3.68E-06
327,2.4,-1.8,2.07E-06
328,2.5,-1.8,1.17E-06
329,2.6,-1.8,6.59E-07
330,2.7,-1.8,3.74E-07
331,2.8,-1.8,2.14E-07
332,2.9,-1.8,1.24E-07
333,3,-1.8,7.50E-08
334,3.1,-1.8,4.95E-08
335,3.2,-1.8,3.95E-08
336,3.3,-1.8,4.20E-08
337,3.4,-1.8,5.77E-08
338,3.5,-1.8,9.20E-08
339,3.6,-1.8,1.56E-07
340,3.7,-1.8,2.72E-07
341,3.8,-1.8,4.76E-07
342,3.9,-1.8,8.37E-07
343,4,-1.8,1.47E-06
344,4.1,-1.8,2.59E-06
345,4.2,-1.8,4.56E-06
346,-2.6,-1.75,0.000162564
347,-2.5,-1.75,0.000138827
348,-2.4,-1.75,0.000119007
349,-2.3,-1.75,0.000102279
350,-2.2,-1.75,8.81E-05
351,-2.1,-1.75,7.60E-05
352,-2,-1.75,6.56E-05
353,-1.9,-1.75,5.67E-05
354,-1.8,-1.75,4.91E-05
355,-1.7,-1.75,4.26E-05
356,-1.6,-1.75,3.70E-05
357,-1.5,-1.75,3.21E-05
358,-1.4,-1.75,2.80E-05
359,-1.3,-1.75,2.44E-05
360,-1.2,-1.75,2.14E-05
361,-1.1,-1.75,1.89E-05
362,-1,-1.75,1.69E-05
363,-0.9,-1.75,1.56E-05
364,-0.8,-1.75,1.51E-05
365,-0.7,-1.75,1.60E-05
366,-0.6,-1.75,1.92E-05
367,-0.5,-1.75,2.61E-05
368,-0.4,-1.75,3.90E-05
369,-0.3,-1.75,6.07E-05
370,-0.2,-1.75,9.39E-05
371,-0.1,-1.75,0.000139338
372,0,-1.75,0.000194562
373,0.1,-1.75,0.000254334
374,0.2,-1.75,0.000313408
375,0.3,-1.75,0.000368735
376,0.4,-1.75,0.000419694
377,0.5,-1.75,0.000467033
378,0.6,-1.75,0.000511752
379,0.7,-1.75,0.000554363
380,0.8,-1.75,0.000594338
381,0.9,-1.75,0.000629449
382,1,-1.75,0.000654814
383,1.1,-1.75,0.000661886
384,1.2,-1.75,0.000638815
385,1.3,-1.75,0.000575251
386,1.4,-1.75,0.000472613
387,1.5,-1.75,0.000350514
388,1.6,-1.75,0.000236548
389,1.7,-1.75,0.000148432
390,1.8,-1.75,8.87E-05
391,1.9,-1.75,5.15E-05
392,2,-1.75,2.94E-05
393,2.1,-1.75,1.66E-05
394,2.2,-1.75,9.39E-06
395,2.3,-1.75,5.29E-06
396,2.4,-1.75,2.98E-06
397,2.5,-1.75,1.68E-06
398,2.6,-1.75,9.53E-07
399,2.7,-1.75,5.43E-07
400,2.8,-1.75,3.12E-07
401,2.9,-1.75,1.82E-07
402,3,-1.75,1.11E-07
403,3.1,-1.75,7.52E-08
404,3.2,-1.75,6.27E-08
405,3.3,-1.75,6.97E-08
406,3.4,-1.75,9.88E-08
407,3.5,-1.75,1.60E-07
408,3.6,-1.75,2.73E-07
409,3.7,-1.75,4.75E-07
410,3.8,-1.75,8.33E-07
411,3.9,-1.75,1.46E-06
412,4,-1.75,2.58E-06
413,4.1,-1.75,4.53E-06
414,4.2,-1.75,7.98E-06
415,-2.6,-1.7,0.000220835
416,-2.5,-1.7,0.000188238
417,-2.4,-1.7,0.000161164
418,-2.3,-1.7,0.000138381
419,-2.2,-1.7,0.000119068
