id,marginal
1,6.65E-15
2,2.31E-14
3,7.62E-14
4,2.39E-13
5,7.15E-13
6,2.03E-12
7,5.49E-12
8,1.41E-11
9,3.45E-11
10,8.04E-11
11,1.78E-10
12,3.75E-10
13,7.51E-10
14,1.43E-09
15,2.60E-09
16,4.50E-09
17,7.41E-09
18,1.17E-08
19,1.75E-08
20,2.53E-08
21,3.54E-08
22,4.81E-08
23,6.45E-08
24,8.66E-08
25,1.18E-07
26,1.65E-07
27,2.36E-07
28,3.41E-07
29,4.92E-07
30,6.98E-07
31,9.62E-07
32,1.28E-06
33,1.64E-06
34,2.01E-06
35,2.37E-06
36,2.71E-06
37,3.03E-06
38,3.36E-06
39,3.81E-06
40,4.51E-06
41,5.63E-06
42,7.38E-06
43,9.91E-06
44,1.33E-05
45,1.75E-05
46,2.24E-05
47,2.74E-05
48,3.20E-05
49,3.58E-05
50,3.81E-05
51,3.85E-05
52,3.71E-05
53,3.40E-05
54,2.97E-05
55,2.46E-05
56,1.95E-05
57,1.46E-05
58,1.04E-05
59,7.09E-06
60,4.58E-06
61,2.82E-06
62,1.65E-06
63,9.17E-07
64,4.85E-07
65,2.44E-07
66,1.17E-07
67,5.33E-08
68,2.31E-08
69,9.51E-09
70,1.03E-14
71,3.59E-14
72,1.18E-13
73,3.72E-13
74,1.11E-12
75,3.16E-12
76,8.54E-12
77,2.20E-11
78,5.37E-11
79,1.25E-10
80,2.77E-10
81,5.83E-10
82,1.17E-09
83,2.23E-09
84,4.04E-09
85,6.99E-09
86,1.15E-08
87,1.81E-08
88,2.72E-08
89,3.92E-08
90,5.45E-08
91,7.38E-08
92,9.81E-08
93,1.30E-07
94,1.75E-07
95,2.41E-07
96,3.39E-07
97,4.85E-07
98,6.93E-07
99,9.76E-07
100,1.34E-06
101,1.78E-06
102,2.27E-06
103,2.78E-06
104,3.27E-06
105,3.72E-06
106,4.13E-06
107,4.55E-06
108,5.08E-06
109,5.89E-06
110,7.22E-06
111,9.29E-06
112,1.23E-05
113,1.64E-05
114,2.15E-05
115,2.73E-05
116,3.34E-05
117,3.91E-05
118,4.36E-05
119,4.64E-05
120,4.69E-05
121,4.52E-05
122,4.15E-05
