min.log.penalty,max.log.penalty
7.552289,9.460695
7.233517,8.214807
6.337458,9.389283
5.499904,Inf
7.37827,7.666517
5.697137,Inf
6.87227,9.718795
7.771582,8.156946
7.597232,8.871548
5.884147,Inf
7.25838,8.708856
7.637125,8.75196
6.663139,10.00322
5.984343,Inf
7.65645,8.106548
5.780742,Inf
6.95735,10.05474
8.481716,9.215031
9.002209,10.00494
5.998589,Inf
6.572559,8.3591
6.806135,7.844058
6.818675,6.987936
6.03129,Inf
7.305964,7.89111
5.887059,Inf
6.589507,8.887845
7.060376,7.589222
7.53682,9.083037
5.656195,Inf
8.107001,9.10052
7.649219,8.703144
7.795659,11.0805
6.658873,Inf
8.425797,8.517602
5.999644,Inf
7.219261,10.06798
8.68228,9.253906
8.20158,9.689964
5.741904,Inf
7.059763,8.944091
7.413308,7.91332
6.833947,9.967019
5.522891,Inf
7.58187,7.603999
5.938701,Inf
6.384973,9.045725
6.812451,7.88676
7.701358,8.084699
6.051732,Inf
7.646342,8.500449
6.966963,8.504573
7.598865,11.03805
6.051539,Inf
7.373108,8.159344
5.731205,Inf
6.584582,9.433234
6.487435,7.948085
8.165352,9.062704
5.61456,Inf
6.872287,8.558576
7.452944,8.497467
6.946586,6.948048
6.082907,Inf
7.764736,8.106488
5.575553,Inf
6.917251,9.406931
8.237254,8.769176
8.020528,9.151735
5.728689,Inf
7.019396,8.961593
7.414149,8.795149
7.080817,10.70367
6.417881,Inf
7.906093,8.291125
5.929503,Inf
6.68895,9.849563
6.685139,8.745527
8.459176,9.390474
6.34231,Inf
8.354533,9.547222
8.378325,9.804211
8.168634,10.85272
5.584282,Inf
8.921832,9.787025
6.10108,Inf
7.645769,10.57525
7.781853,9.200752
10.70157,Inf
6.202749,Inf
7.333016,8.690358
6.570375,8.510409
6.171298,9.087509
5.99334,Inf
7.617993,8.39929
5.586318,Inf
6.866963,9.629429
6.717109,8.341336
7.800506,8.625344
5.622973,Inf
9.152665,9.534644
8.32993,9.969396
8.457255,12.19968
6.292246,Inf
8.777655,9.792338
5.995026,Inf
7.905194,11.20055
8.081055,9.383001
9.96569,10.68968
6.042415,Inf
6.271613,7.152308
6.295105,7.198119
7.061856,9.760212
5.590588,Inf
6.761764,6.781094
5.62762,Inf
6.025046,8.938944
6.563829,7.332675
6.346983,7.748653
5.843133,Inf
7.091021,9.556921
7.797817,8.782597
7.541259,10.25265
6.971758,Inf
8.451916,8.630609
5.679535,Inf
7.356776,10.39601
7.227964,8.791337
9.521894,10.47888
6.523527,Inf
7.58496,9.142581
8.050533,9.013499
7.145849,10.22076
7.596665,Inf
8.064137,8.854367
6.024906,Inf
7.856424,10.56585
8.964469,9.444109
9.37761,9.988909
6.491682,Inf
6.935357,9.17362
8.937185,10.87857
7.755041,9.19601
8.766112,10.35101
6.324474,7.887812
8.084643,9.710064
6.593445,7.165942
7.235321,8.614365
7.061342,9.937808
8.135423,10.92124
7.91637,9.573159
8.940611,11.04189
5.708109,7.383679
7.460844,8.910193
6.158958,6.968124
7.355541,8.122847
7.321239,9.047621
8.12478,11.22455
8.065284,9.633704
9.420152,10.90436
6.574565,8.533127
8.490988,10.26821
7.111924,8.7207
8.508873,9.581382
6.704343,9.571359
8.683474,10.6604
7.942458,9.576185
8.904677,11.02745
7.70888,9.700408
8.112588,11.58968
8.309069,9.800199
9.459549,11.22767
6.786516,9.012392
7.251505,7.440087
7.294136,8.59722
8.557083,9.936694
7.504882,9.849252
8.385116,11.78518
8.476287,9.951707
9.599265,11.24714
7.004749,8.393191
8.737346,9.057254
7.272973,9.035848
8.090551,10.0126
6.213221,8.254393
8.482685,10.27324
6.700079,8.44128
8.009524,9.915068
6.616464,7.806253
6.920538,10.21928
6.791963,8.392275
8.149022,9.249255
7.507639,9.271226
9.428647,9.764955
8.617225,9.372562
9.420055,10.84944
7.259882,9.174046
8.983993,10.91563
7.593816,8.952757
9.023523,10.44378
6.410909,7.670302
6.996575,7.454555
9.967977,10.14414
8.306065,9.391543
8.740664,8.772582
7.440167,8.987035
7.71024,8.377071
8.278313,10.50928
7.104625,9.184737
8.23858,8.395705
9.698431,10.23097
7.479039,8.400767
9.539869,10.3516
8.456603,10.07601
9.106537,9.159318
8.519783,9.941456
8.968904,10.24202
8.069651,9.931056
9.253178,10.37506
8.160402,9.835089
8.833757,10.24176
8.32827,9.727841
9.081321,9.102368
8.335826,9.872584
9.428511,9.680586
8.651004,10.22425
9.53625,10.12918
8.151,9.871481
9.419426,10.26917
8.32382,9.841813
7.613632,8.541616
8.191477,9.147743
8.267835,9.219969
7.946338,8.998429
8.064834,9.199795
8.262345,9.164538
8.192572,8.975399
8.075007,8.703864
8.39402,9.212215
7.398005,8.647497
7.864037,8.236351
8.223856,9.119106
7.783066,9.045359
8.153333,9.281827
8.312394,9.469063
10.96366,Inf
7.725327,Inf
7.096801,Inf
8.167558,Inf
9.750264,Inf
12.90086,13.27273
9.572225,Inf
11.51711,Inf
10.58963,Inf
10.81808,Inf
6.793971,Inf
11.50734,Inf
7.952526,Inf
11.21533,Inf
10.66788,Inf
7.87035,Inf
6.672548,Inf
10.56262,Inf
8.421578,Inf
12.76623,13.26933
9.268676,Inf
10.73668,Inf
9.490593,Inf
10.8513,Inf
7.132157,Inf
10.864,Inf
8.695603,Inf
8.46983,Inf
9.85893,10.23881
7.772972,Inf
6.439759,Inf
10.24172,Inf
8.460327,Inf
12.38149,12.9436
8.899047,Inf
9.142681,Inf
9.533018,Inf
10.13997,Inf
6.84303,Inf
10.11157,Inf
9.166019,Inf
9.503211,Inf
10.2378,10.23967
7.756995,Inf
6.335968,Inf
10.30169,Inf
8.62675,Inf
12.45194,12.97561
8.93833,Inf
10.03674,Inf
9.556555,Inf
10.43991,Inf
6.86797,Inf
10.333,Inf
9.373751,Inf
10.2053,Inf
6.117992,6.489634
7.587423,Inf
6.46928,Inf
7.887157,Inf
8.145222,Inf
12.38253,12.87382
9.047397,Inf
10.11171,Inf
9.256676,Inf
10.43094,Inf
6.832008,Inf
10.28257,Inf
7.805946,Inf
8.475948,Inf
6.160481,6.177796
6.39681,Inf
6.446677,Inf
10.25359,Inf
8.909818,Inf
12.59211,13.00412
9.135285,Inf
10.60808,Inf
9.556487,Inf
5.553471,Inf
6.878729,Inf
10.69635,Inf
8.571014,Inf
7.308546,Inf
8.740725,Inf
11.44337,Inf
7.937091,Inf
6.255338,Inf
9.206145,Inf
11.96382,Inf
8.839825,Inf
8.394753,Inf
9.28103,Inf
7.850556,Inf
8.562484,Inf
9.610101,Inf
6.604824,Inf
10.21922,Inf
6.2756,6.758784
6.457825,Inf
6.912506,Inf
6.791856,Inf
8.739818,Inf
10.79717,Inf
7.408348,Inf
8.707646,Inf
9.411254,Inf
6.902007,Inf
6.804352,Inf
9.51577,Inf
6.631855,Inf
6.498709,Inf
10.15156,10.28959
7.366963,Inf
6.746216,Inf
10.22938,Inf
8.52588,Inf
12.32958,12.88747
8.826303,Inf
9.541481,Inf
9.518775,Inf
10.26127,Inf
6.736893,Inf
10.29644,Inf
8.389072,Inf
6.032299,Inf
10.01309,Inf
7.308228,Inf
6.499192,Inf
9.827424,Inf
8.303499,Inf
12.18547,12.68918
8.695395,Inf
9.439996,Inf
9.394404,Inf
10.16843,Inf
6.79443,Inf
10.08282,Inf
8.288857,Inf
10.07434,Inf
8.858049,Inf
8.057941,Inf
10.25714,Inf
7.156504,Inf
9.382327,Inf
11.99416,Inf
8.733798,Inf
8.764777,Inf
9.609258,Inf
6.928453,Inf
7.531805,Inf
10.54895,Inf
7.871139,Inf
6.949279,Inf
8.142846,Inf
8.374094,Inf
7.986018,Inf
8.609634,Inf
10.72406,Inf
12.87831,Inf
10.16447,Inf
12.34037,Inf
11.89292,Inf
11.85453,Inf
7.05661,Inf
12.19508,Inf
7.846732,Inf
6.965527,Inf
6.607901,6.694128
11.32036,Inf
10.23358,Inf
9.79649,Inf
8.877598,Inf
11.93839,Inf
8.953453,Inf
8.618405,Inf
9.393359,Inf
8.250181,Inf
7.031568,Inf
9.437658,Inf
7.418607,Inf
6.677229,Inf
10.37441,10.64687
7.908787,Inf
6.566026,Inf
10.53063,Inf
8.980085,Inf
12.74419,13.41976
9.127682,Inf
9.71698,Inf
9.307754,Inf
10.54548,Inf
7.252245,Inf
10.6978,Inf
9.522809,Inf
9.993106,Inf
5.67671,5.754662
6.94068,Inf
9.19401,Inf
7.749075,Inf
8.505307,Inf
12.09645,12.78709
8.556666,Inf
9.596511,Inf
8.913115,Inf
10.25291,Inf
6.257918,Inf
10.12477,Inf
9.080479,Inf
5.616432,Inf
10.09675,Inf
11.1353,Inf
7.78063,Inf
6.907762,Inf
9.252447,Inf
11.80618,11.84225
8.916748,Inf
8.38426,Inf
8.875073,Inf
6.443528,Inf
7.234182,Inf
10.1448,Inf
9.089394,Inf
6.199857,Inf
6.613546,7.028933
11.2414,Inf
6.936475,Inf
6.817396,Inf
10.31514,Inf
11.90638,Inf
8.790042,Inf
8.761153,Inf
9.357046,Inf
7.920066,Inf
7.41669,Inf
10.34988,Inf
9.151758,Inf
6.834701,Inf
10.34899,Inf
6.666228,Inf
7.305232,Inf
7.499024,Inf
8.866165,Inf
10.95578,Inf
6.433048,Inf
10.45673,Inf
9.728219,Inf
6.553089,Inf
6.775959,Inf
10.00111,Inf
6.415242,Inf
6.409328,Inf
11.52389,Inf
6.840007,Inf
8.254269,Inf
9.558394,Inf
9.914492,Inf
12.21431,Inf
8.778994,Inf
10.34777,Inf
