min.log.penalty,max.log.penalty
0.6566332,2.762956
-0.2514874,Inf
-Inf,-0.5513887
-Inf,-1.521949
-0.1555445,Inf
0.6287834,Inf
1.00872,Inf
0.6907197,Inf
2.064147,2.922584
0.4908398,Inf
0.7889853,Inf
-0.4803361,-0.3483666
0.3658865,Inf
-0.07827041,1.214844
0.524173,Inf
0.5705972,Inf
0.3709612,Inf
1.282721,Inf
0.1465261,Inf
0.1708862,Inf
0.9620763,Inf
0.892085,Inf
0.03574305,Inf
0.3499305,Inf
0.1971667,Inf
0.2661706,Inf
0.6734672,Inf
-0.2060782,1.895513
-0.519936,Inf
0.8229922,Inf
2.55692,Inf
-4.054063,2.563511
1.163147,Inf
0.006333559,Inf
-0.1699489,2.174031
-0.08577877,Inf
0.9671974,2.140478
0.8780049,Inf
2.297598,Inf
0.4218707,Inf
0.1040886,0.3758424
0.07377158,Inf
0.7748505,Inf
-0.2500402,2.21461
-0.4145286,Inf
-1.273404,Inf
-0.147708,1.932668
0.04411309,Inf
2.671169,2.697951
0.714691,Inf
0.2267899,3.007326
1.389296,Inf
-0.6506194,Inf
0.1507101,Inf
-0.4466854,2.367729
0.1224467,Inf
2.629683,Inf
0.7826356,Inf
-0.2745296,Inf
0.9077261,Inf
1.559019,2.654052
0.7561798,Inf
0.8732759,Inf
-0.01963991,Inf
0.2907787,Inf
0.219033,Inf
3.339181,3.664988
-0.2875948,Inf
0.2320058,Inf
0.5591342,Inf
-2.272537,Inf
0.3052595,Inf
-2.32189,0.6934077
-0.1373562,Inf
0.6732698,Inf
-0.2713636,Inf
-0.2171164,Inf
-0.03480602,Inf
-0.289076,3.741614
-0.1552234,Inf
-0.08546307,Inf
-0.1772226,Inf
0.1870808,Inf
-0.04785938,Inf
0.03064673,Inf
0.1553106,Inf
-0.1831899,Inf
-0.1445987,Inf
-0.6926678,Inf
1.472248,2.375587
0.1601598,Inf
1.335014,Inf
1.056761,Inf
2.704633,Inf
2.147751,Inf
-Inf,1.445634
3.531693,Inf
3.350176,Inf
0.604943,Inf
0.3350383,Inf
0.4741018,Inf
-0.191151,Inf
0.6026447,Inf
1.084829,Inf
-0.4528569,Inf
0.1307543,Inf
0.08471325,Inf
-0.08040383,Inf
0.2138478,Inf
0.09879312,1.497124
0.3623679,Inf
0.1440121,Inf
0.4882427,Inf
-0.1089438,0.7584057
1.008057,Inf
0.6900275,Inf
0.4114126,Inf
1.968042,Inf
0.5720962,Inf
0.1033916,3.128173
1.049215,Inf
0.566234,2.080577
0.5904222,Inf
-0.05496957,Inf
-0.1559896,0.6779939
1.140298,Inf
0.2821244,Inf
-0.01477108,Inf
-0.4266295,Inf
0.2847961,Inf
0.5208871,Inf
-0.4269364,0.0592009
