min.log.penalty,max.log.penalty
7.68355913984633,11.3993212735778
-Inf,11.6332631733884
7.88530197085057,11.5681114366198
-Inf,11.1915236240502
-Inf,11.3995837546681
8.0140452547697,11.1531531637386
8.57731571160886,11.6958896342505
-Inf,11.3640053001599
7.19547407625815,11.7370393599884
-Inf,12.0567885402502
8.04574925072339,11.1714162355867
-Inf,12.0201156609025
-Inf,11.7216228258869
-Inf,11.735178833633
-Inf,12.8932547257285
-Inf,12.160967925462
9.05042195977113,12.2225135324773
8.78766180849419,12.4231864509119
-Inf,12.5872747759814
-Inf,12.050629582415
-Inf,11.7349279074814
9.06898534182942,12.4247942128732
8.21023643598295,11.3580952299406
8.58006007886305,12.1216874896371
8.16488691281668,11.9940721823795
-Inf,11.6778762058526
8.57763751847201,11.9472217850855
7.12118486749359,8.8506387053538
-Inf,10.5282638965853
6.66938558489942,7.59295988852653
-Inf,9.6962845594787
-Inf,10.7559876532127
7.93006841953149,10.4722080238545
7.80529155370253,8.98544732131824
-Inf,10.2725660536638
-Inf,10.2260524884691
7.5260494709851,9.62188161211693
6.79845285935303,8.97344214828039
8.2554042426391,9.85335073302804
7.19733762646244,9.01705344502709
-Inf,9.57770861833215
8.44224660127754,10.9850396536774
-Inf,10.6744077216827
-Inf,10.2380327450262
-Inf,10.1957631933554
-Inf,9.81439429430156
8.08834444703532,9.27919641424413
-Inf,11.089412837702
8.84557996195034,10.0475458813815
-Inf,11.5486590091023
8.35068250335454,9.7403322127993
-Inf,9.85634906075332
-Inf,10.5375020860331
7.59246468530008,10.4060672023608
7.81243034515734,8.79564815455113
7.38176547089065,10.8083977782502
8.60924570374184,9.54331096785722
8.46177213508435,11.0015540843311
8.39336852364956,9.52823482838587
7.8548564064387,9.0721911727699
7.44822549783116,Inf
7.11715882394679,Inf
7.47686746865111,Inf
6.98512109990884,Inf
7.00545801091383,Inf
6.59858037676465,Inf
8.04181720483305,Inf
7.17469346979078,Inf
7.99473346769883,Inf
7.80635909904939,Inf
7.1745870433805,Inf
7.5255987719294,Inf
6.91205551169896,Inf
7.43778194900058,Inf
8.08038681743907,Inf
8.13515984814579,Inf
7.44673866541209,Inf
7.96947559406205,Inf
7.62177637497264,Inf
9.02952742442916,Inf
8.41729479900334,Inf
7.25254836856583,9.66227440839967
7.79224908402986,Inf
7.53721358957587,8.47161128895658
7.52070188762367,10.4084660372996
-Inf,10.5566978729354
7.10617680895389,7.70507862503732
7.1217956387789,10.87001663543
7.69750858862992,9.04950766940792
7.40447679453532,8.2216212741303
6.64131379071998,8.51414558545406
7.68829436340253,8.63722355529126
6.79943079105813,8.55874471612852
8.07486944974257,8.56670016002888
8.73128581849882,9.89609039978034
8.33750058309634,8.81341491954055
8.23451706280268,10.4275314142965
7.16670613018109,10.5367135087881
7.76518295947589,8.61544820665591
-Inf,9.93853918540915
-Inf,11.4983330332707
-Inf,11.2314132535856
-Inf,12.9474056139428
8.63501874232955,11.495805663743
7.88966852001728,11.4175246420362
-Inf,8.20241158402985
-Inf,7.77800919782973
7.66541260985796,7.91172430575814
-Inf,9.86811599937153
-Inf,7.32413259406097
7.03608692611541,8.93375745756988
-Inf,9.99645070278581
-Inf,9.73005518508195
-Inf,7.50738334492973
-Inf,10.536984867324
-Inf,8.08253320091773
7.22900017547695,8.34108258054595
6.99242164065484,7.83805241351022
7.29025398038021,9.44536034050187
-Inf,6.81984544568243
-Inf,7.70747433109658
-Inf,9.33441578338475
7.54822228139343,9.26962675257465
-Inf,8.8592577687497
7.80659870459085,8.62528291463998
7.30951532598936,8.56305039001306
7.24782516295986,7.99473729060167
-Inf,10.3382682011341
-Inf,9.38701783783905
-Inf,11.6991073290286
8.83574071252251,8.98639548455802
-Inf,8.85085444867841
8.75223552685157,9.01313069438945
7.49548111467855,8.11271643143927
7.12725947145461,7.41741064458807
-Inf,9.02943916342051
6.89235845069693,6.98506690721616
-Inf,6.50965102452422
-Inf,8.60631138274395
-Inf,8.28022661854631
7.13256249422112,7.68538352989742
-Inf,8.12984125073781
-Inf,8.85115536595009
7.34492958803344,7.5680048742554
6.6210249392196,6.93245215638257
7.68258166782557,7.68363074036464
6.98590791698001,7.05574747643513
7.58424631172737,8.55593842245184
-Inf,8.95535604578924
-Inf,8.91148270752135
-Inf,8.25122585059967
8.05980279102793,8.22314002548519
7.98606742861116,8.20246046466285
-Inf,8.76722921575996
-Inf,9.61173668359676
8.67271825866516,9.13688896337146
-Inf,12.996208040054
8.43092103970211,8.66015213474525
-Inf,8.56985049729186
8.53658110563445,9.81333032836678
-Inf,7.98724660212348
7.44386303720608,10.0491869820603
-Inf,12.1927615555295
7.28124082096836,9.39837879882064
7.38615645360131,10.7164527774313
-Inf,12.1066167353598
-Inf,11.6347507775296
7.62023801081079,7.92964115035017
-Inf,11.63933297607
-Inf,7.85057902157452
7.1514044820426,7.15376734966542
7.30286109683148,9.70868894090057
7.89304512014968,10.6380740632262
7.3612667017119,10.4114153270602
8.0929384226605,8.3637138153342
-Inf,9.26009439932984
8.91260181603132,9.19897834123778
8.57736360993246,11.4401121526429
8.20941003170116,11.5461532456922
8.44009196506584,10.4062331255683
7.70382060078553,10.872131457619
-Inf,9.04512791531507
8.77598962952789,8.96608145014006
-Inf,14.1594304121434
-Inf,8.17089078119572
7.81756012967553,8.24090983483423
-Inf,8.39388197123357
-Inf,7.50514484291068
7.30147394622174,Inf
7.1021385684884,Inf
7.34153021388064,Inf
7.77661095504091,Inf
6.92736674430589,Inf
7.68126495153542,Inf
6.96473831841968,Inf
6.93651121699868,Inf
8.00638003585731,Inf
7.33866168810189,Inf
7.19998517103977,Inf
7.32222157740429,Inf
6.90237452085051,Inf
7.95577158977025,Inf
7.67383825606601,Inf
7.46425450939884,Inf
7.60476277173719,Inf
7.03037986503027,Inf
7.00840180674679,Inf
6.97578124883378,7.72442690423334
-Inf,9.57016579367308
8.19997792547544,10.6836018512145
8.76837243163969,10.1458377126511
8.4923400212417,10.0351817828161
7.45720690609467,8.20794753367536
7.96712506253102,Inf
7.51031026917853,Inf
7.98213846966812,10.3714730604337
-Inf,11.8954041115031
7.19802015472069,9.46746119772757
7.97481633458048,10.9058538310496
-Inf,11.8445728144019
-Inf,11.764163356961
7.63165489450439,9.84618576760524
-Inf,11.4961934104498
7.98460243687062,11.4009127650161
7.74320234509549,10.6551215052471
7.4855554476552,9.68577603033925
7.87443692912433,10.9070735122467
7.31694556532769,10.42322046226
8.43020980262684,10.2036502767005
-Inf,11.6175035177532
-Inf,11.3214342206191
-Inf,11.2630382012074
-Inf,11.3282098380559
7.77915030502083,10.7845151008617
-Inf,11.4308060792672
-Inf,12.6973684820646
8.9792679451551,11.8287982636681
-Inf,14.0016243989497
9.14244963526296,11.9893028694804
8.67625570650171,11.6866726129844
-Inf,11.3831778823729
7.77139254454654,10.3223633978631
7.48372263916327,7.68982930776826
-Inf,10.6518879801871
7.10567225433009,7.10684637156776
7.07275153198218,8.11964506306981
-Inf,10.2787313299866
-Inf,9.79547141716221
-Inf,7.24530933921733
7.08792040338924,9.84072429377818
8.57245480668193,8.64045355589557
6.99063127076057,8.43386749791954
-Inf,8.11877947699608
7.42501774023271,9.32789280689809
-Inf,8.58535495533405
-Inf,7.59003227486045
-Inf,10.0869585915406
-Inf,9.0357090983365
7.51779354681197,11.2484614379509
-Inf,10.9847270269988
-Inf,7.60130751210704
8.19878444366737,9.56144205112355
-Inf,10.7812659569649
8.09664038229538,11.7348004398658
-Inf,13.2235086043941
9.42424824480894,12.9295530120875
11.1688149751538,14.1846551075122
10.4862057775526,12.3913772968782
9.9810591760711,12.2177352430075
6.84287069888922,9.48129622554528
7.91423666043836,11.2246251989611
7.39295450443109,8.57713720486976
8.04351339199363,9.64427458843815
-Inf,11.0769600450284
7.50189400113615,10.6976842073831
7.61287342499658,8.92617327766391
7.26803263901192,10.6630308088426
8.43346732372739,10.3220840484268
7.49490454997984,9.74344071694585
7.2306556022335,8.49113705022886
7.73317500158368,9.39339354899572
7.21000199389646,9.08879826026043
8.03923601309258,9.48026458753926
8.28558376303843,11.1504699548789
8.68000964289084,10.7463685339397
7.48535252847922,10.8908513612797
7.7983134699512,10.8834393713273
7.59095228175219,8.92378774284154
7.67695402335948,9.39242590914456
-Inf,11.0828363518471
8.01356809591559,10.9356418900057
-Inf,12.8888130523538
7.52101390564829,11.133550531002
7.5106722197742,10.774139317387
8.64829471417244,10.2832931410422
7.32312498883263,10.0641882487948
7.08016536189251,7.77764303807289
-Inf,12.0072073680091
7.36116410008408,9.46666308055598
6.80902108348033,10.4254066403432
-Inf,11.8516302933437
-Inf,11.7098262864903
8.20162136071646,9.62200951489283
8.24675178528568,11.5899437295785
-Inf,11.2795200957184
8.10123946974452,8.27167175359434
6.86037613738883,10.01313599367
7.95021044898372,10.5807419598827
7.50478209903413,9.93118480851112
7.04013933161294,7.58845075500234
10.4998471218191,11.8470002209533
8.97424008885627,10.3473102851139
9.08313773044123,11.276220595534
-Inf,11.5804117416363
7.43526103576105,10.5331619723387
7.12070645727268,8.80874798763341
-Inf,11.1673236450865
-Inf,10.8166521800763
-Inf,11.4568692241294
8.55501137915843,10.0909881842513
-Inf,9.90399358478448
8.70003613136266,11.3149367112593
7.52742119245477,10.8169044184148
7.29284052275581,8.73502232616644
8.59502704171973,10.4807391607597
8.3604013788841,9.65440507515934
-Inf,11.0132759537701
7.55739354928129,8.02692784187048
8.00756304089579,9.13281318586304
6.94272414615529,7.5001328709845
-Inf,11.4211523368219
7.4340227953195,8.67430316452568
7.36080128765909,7.37079191255795
-Inf,11.1682185803761
-Inf,11.1082911412364
7.29165033275642,7.4816124456208
7.631073725525,10.9790192903493
8.10765886039672,10.0868725618289
7.30068381320356,9.6717327493223
7.15793062873115,9.07831812753565
7.08846224291593,8.055899618292
6.65797101591843,7.18385655690349
-Inf,7.15555932663994
8.29175772290744,10.1417153800631
7.50402334000774,9.91078814544048
7.21687301974837,7.81960211475206
7.28652263037913,11.1435766529815
-Inf,7.20450718656826
7.93548543550812,8.80087854147979
-Inf,10.2764409362388
-Inf,8.73695205817094
7.44191393148199,8.94855063108851
7.43428544749123,10.075275038682
-Inf,11.9359290161502
7.38208775523228,7.60999868224489
7.2467611376204,7.6143570887994
-Inf,9.16927270077503
-Inf,11.3783811385016
7.52143877065525,7.96925915308107
-Inf,8.41654032652182
-Inf,10.5280344899512
-Inf,8.19849138003975
-Inf,7.74980336296717
8.38370725932206,9.07656848656076
7.05518806575626,7.62149909330464
8.19897607127177,8.6632780318053
-Inf,11.1408670837328
-Inf,8.35277983844675
-Inf,7.98308519111375
-Inf,8.3712514658186
-Inf,11.1450756111213
-Inf,12.8128548914899
-Inf,12.5178525523105
-Inf,14.0070683773491
-Inf,12.2024270635031
7.89851564435972,12.168218333269
7.82636579003295,8.47306248077379
-Inf,9.58211651095118
7.45370138649709,7.61340517800175
8.06026886374997,8.17374193954014
-Inf,11.0460936327923
-Inf,11.1877032922641
-Inf,7.49060930760777
-Inf,11.1216374856067
9.40337183848911,9.51770649516076
8.0226136035538,8.68402912708116
7.24175982970256,9.24728277055337
8.2801358585516,8.87747947156653
7.59571638612167,8.40563577974701
8.57078400367419,9.33178837641194
9.62116077591646,9.77121961809126
9.42238009420043,9.44061924018289
-Inf,11.2739246060009
8.7669040850604,11.3440566167233
-Inf,9.76158914489239
-Inf,9.53553778131869
-Inf,10.6035504260056
-Inf,9.99172388246005
-Inf,11.3749688865797
9.54158740969507,11.6757706772122
8.85044558447909,8.90905292553951
9.11986265584196,10.1136210602891
7.37619105112028,7.76438661530967
-Inf,9.64124643974737
-Inf,9.15233420556604
7.18924073825033,8.24174210711757
-Inf,8.91234816613776
-Inf,9.34208885295704
-Inf,8.91889466385217
7.35095474855795,7.64817929372148
-Inf,7.08506289442022
-Inf,9.40409281853165
6.7389883134422,9.07368330331338
7.10462475439751,8.4655707962715
7.52630727136138,8.93628768650653
-Inf,8.77226822699875
-Inf,10.3708883165692
-Inf,9.58081408850629
-Inf,9.39890677780989
-Inf,11.6152654620257
-Inf,11.5572552416412
-Inf,8.6404337066534
8.31758525854378,9.99501928868326
-Inf,11.2195929613225
-Inf,10.9501093087534
-Inf,12.0365865310188
-Inf,10.069877210588
8.6700665197653,9.60899768029407
8.54255906992522,9.80481565613831
7.58043097115786,9.17494520892441
7.94422697935818,8.63364931703993
-Inf,8.75616929853933
7.66167136893219,9.0121161624024
7.59538173223545,8.51258181413746
-Inf,9.12337609079684
-Inf,11.5235927568332
7.83918215468104,9.87793779138634
-Inf,11.5569405523573
8.55570453682756,9.06443568365012
6.87684149367902,7.73772306981429
7.61531944910216,7.75248205147518
-Inf,8.39936123760947
7.84868961954681,8.01087516579226
7.94762687660375,8.44195779724002
9.86061803986328,11.4105598925258
7.82149779253138,8.88774212110366
9.5613343296699,11.3612789850051
9.28540571063819,11.5269703164578
7.39587736415624,8.05366973479985
-Inf,9.34734094499608
-Inf,9.77967221747613
8.61858075656495,8.9184979799368
-Inf,14.0727630826053
-Inf,12.0034618259999
8.76922174369184,11.8340825950205
7.80971246335742,9.05312969783035
-Inf,7.73302090262937
7.23944318381462,8.84975204814004
-Inf,11.4222490702044
7.15668218080803,8.75158583005359
7.33656594228697,9.83494300691263
6.92296585959559,11.4078077258388
6.98898644999724,11.0494929967062
