min.log.penalty,max.log.penalty
7.923412,8.878377
7.446746,8.508083
9.415608,9.546484
9.212924,11.38732
8.910928,9.869376
8.768041,10.96433
9.348874,11.64562
8.962097,10.59303
10.22318,11.29842
6.736318,10.13489
9.987601,10.59025
11.09507,11.57502
9.056258,9.213272
9.7018,10.42574
8.215873,10.23782
8.737257,9.155881
9.909308,9.933407
8.056101,11.25105
9.77072,10.40223
7.372976,10.18252
7.798908,8.192176
9.67593,10.23648
9.01777,11.50233
7.509985,9.204626
10.33655,10.36461
8.954055,10.44271
7.997044,8.434346
7.613655,8.350385
8.002798,9.158416
7.882243,8.539582
8.831957,9.128914
7.916585,10.18318
8.147196,9.954822
8.311133,10.73623
8.463539,9.509157
8.916313,10.74917
9.382485,12.72636
7.385679,10.19183
8.861394,9.150357
10.40222,12.26621
8.174206,9.350262
8.241553,9.874642
8.300291,9.9638
8.882475,9.341716
10.05014,12.24437
9.66015,11.70937
8.45223,10.80266
9.197792,11.91849
9.381625,10.02667
10.08084,13.07946
10.58533,14.65853
8.400008,12.21191
9.727821,10.71461
10.87832,14.1237
10.12643,11.77334
10.82288,11.76308
9.581253,9.846216
8.05057,9.940283
10.4911,10.66713
9.925903,11.30207
8.139699,10.61582
10.76461,11.26668
8.52461,8.655478
10.4309,13.08492
10.13341,13.81105
8.452748,10.54795
9.575817,9.926971
8.973821,10.25246
10.20987,11.0075
9.713947,10.56225
11.67731,13.45534
10.60441,10.64197
11.48899,12.97163
10.58065,12.35189
11.388,12.30034
10.76664,13.38904
10.26535,10.82732
11.96041,13.44783
11.66897,15.53544
10.72665,11.81772
12.27769,12.8804
12.16365,14.49241
11.18895,11.8992
10.9482,12.08705
10.44103,11.29212
9.0984,9.465937
9.764978,10.00916
8.815218,10.89478
8.450121,8.714341
9.11556,11.30963
8.681467,9.007749
10.22647,11.76051
9.816457,13.60394
9.420618,11.59247
9.584718,10.9158
9.856029,10.42197
10.08714,10.26465
9.70086,9.869187
8.536421,11.40244
8.296388,8.516699
9.262892,9.66692
8.359847,10.6229
7.876705,10.89968
8.24793,11.13018
8.250938,8.757693
9.710808,11.47428
10.13237,13.25752
7.89356,11.37639
10.37324,10.39255
8.591929,9.411712
9.486746,10.23914
9.760535,10.39511
5.916555,6.408003
8.180455,10.28276
8.470648,8.538012
7.813758,10.769
7.361075,10.13256
7.19679,9.647458
8.008783,8.212845
8.110222,9.387368
8.015085,10.70838
8.142775,9.832815
8.865625,9.466096
7.627189,8.415004
7.965743,8.219413
8.969594,9.660684
8.447695,10.54605
9.713013,9.921692
9.530922,11.01662
9.214298,12.5572
8.284843,11.69368
8.551379,11.6391
9.768826,12.64537
7.966202,11.60954
9.835782,12.14748
8.727574,11.52133
9.936123,11.70532
9.616863,11.31048
9.569401,10.66785
8.220793,11.37021
