min.log.penalty,max.log.penalty
2.42633,2.463853
3.38955,Inf
0.4619453,Inf
0.2937919,Inf
-Inf,0.8874801
1.185919,1.891883
0.409594,Inf
-Inf,1.854912
-Inf,-4.56748
1.142062,Inf
-Inf,-0.8169736
-0.5852808,0.8670891
2.355625,Inf
-Inf,0.8981821
0.6542143,1.420221
5.315633,Inf
-Inf,2.199125
2.470652,3.658138
0.2048788,1.196116
1.099976,4.404352
2.367228,Inf
-Inf,2.760886
-Inf,3.12785
2.583409,Inf
1.690978,3.275937
2.604601,Inf
-Inf,2.28387
2.804068,Inf
7.463046,Inf
-0.04274998,Inf
-Inf,2.135465
2.245171,2.561742
6.64741,Inf
3.00013,Inf
-Inf,-0.1556882
-Inf,1.949918
2.493918,Inf
1.129644,5.271395
2.251241,4.010375
2.114078,Inf
-Inf,2.043346
-Inf,1.606906
2.749398,Inf
1.966342,4.18086
-Inf,2.703185
-Inf,-2.884171
1.393929,Inf
3.228714,Inf
2.747517,3.268169
-Inf,0.8632617
3.361359,Inf
3.326882,4.696795
1.688887,2.020031
2.881042,Inf
4.304595,Inf
-Inf,0.6816259
-Inf,-0.4331429
-Inf,-2.64658
1.736285,2.383204
2.838503,Inf
-Inf,2.179021
2.008578,4.782808
3.117371,Inf
-Inf,2.449938
0.8773792,0.9231214
1.036622,Inf
-Inf,1.514756
-Inf,2.605959
3.186784,Inf
3.979212,Inf
1.065812,2.091342
-1.061924,-0.8884861
2.817374,3.540411
2.491794,5.60117
1.798211,2.525385
2.101994,3.773891
-Inf,0.8389044
-Inf,1.700493
3.752701,Inf
-Inf,0.931501
1.221849,1.741161
3.828705,Inf
-Inf,2.559613
1.957009,3.236197
2.912987,4.259504
-Inf,2.530488
-0.4085952,Inf
-Inf,2.007515
3.12399,Inf
0.839018,Inf
3.345067,Inf
2.411031,Inf
1.241957,3.131308
0.6046661,Inf
3.09174,Inf
-Inf,1.368982
-Inf,-1.019214
-Inf,1.699256
-Inf,1.100759
2.889102,Inf
-Inf,0.2738521
-Inf,-3.346606
2.810589,Inf
1.548431,2.510378
3.027522,Inf
-Inf,1.127261
-Inf,-1.65684
3.023078,Inf
-Inf,1.402377
-Inf,2.777893
-Inf,1.767774
-Inf,-3.998428
2.413811,Inf
1.414644,1.821291
1.662164,1.983369
4.418564,Inf
3.084339,Inf
