unweighted.quartile.0%,unweighted.quartile.25%,unweighted.quartile.50%,unweighted.quartile.75%,unweighted.quartile.100%,weighted.quartile.0%,weighted.quartile.25%,weighted.quartile.50%,weighted.quartile.75%,weighted.quartile.100%,unweighted.mean,weighted.mean,bases,data,log+1.unweighted.quartile.0%,log+1.unweighted.quartile.25%,log+1.unweighted.quartile.50%,log+1.unweighted.quartile.75%,log+1.unweighted.quartile.100%,log+1.weighted.quartile.0%,log+1.weighted.quartile.25%,log+1.weighted.quartile.50%,log+1.weighted.quartile.75%,log+1.weighted.quartile.100%,log+1.unweighted.mean,log+1.weighted.mean,log+1.bases,log+1.data,log.unweighted.quartile.25%,log.unweighted.quartile.50%,log.unweighted.quartile.75%,log.unweighted.quartile.100%,log.weighted.quartile.100%,log.unweighted.mean,log.weighted.mean,log.bases,log.data,log.log.unweighted.quartile.50%,log.log.unweighted.quartile.75%,log.log.unweighted.quartile.100%,log.log.weighted.quartile.100%,log.log.unweighted.mean,log.log.bases,log.log.data
0,2,6,66,665,0,1,2,3,665,60.9787455129416,6.47859654355545,174341,10586,0,1.09861228866811,1.94591014905531,4.20469261939097,6.50128967054039,0,0.693147180559945,1.09861228866811,1.38629436111989,6.50128967054039,4.12679151196344,2.01204514651516,12.0687741663364,9.26738211234338,0.693147180559945,1.79175946922806,4.18965474202643,6.49978704065585,6.49978704065585,4.11052536924193,1.86850390412209,12.0687684304674,9.26728765241793,0.583198080782659,1.43261833006792,1.87176941338885,1.87176941338885,1.41355084740512,2.49062099431667,2.22649074263408
0,2,3,5,24,0,0,1,3,24,3.7499598522563,1.86382903061137,174347,6227,0,1.09861228866811,1.38629436111989,1.79175946922806,3.2188758248682,0,0,0.693147180559945,1.38629436111989,3.2188758248682,1.55813616585426,1.05215955130094,12.0688085808593,8.73681053295389,0.693147180559945,1.09861228866811,1.6094379124341,3.17805383034795,3.17805383034795,1.32174513386002,0.622632990281683,12.0688028451878,8.73664995487245,0.0940478276166991,0.475884995327111,1.15626900640655,1.15626900640655,0.278952934537861,2.49062384586456,2.16752681583124
0,3,6,26,294,0,0,1,4,294,35.2942492433215,4.3816099735515,174301,7599,0,1.38629436111989,1.94591014905531,3.29583686600433,5.68697535633982,0,0,0.693147180559945,1.6094379124341,5.68697535633982,3.59165930567155,1.68298758099637,12.0685447059116,8.93590352627442,1.09861228866811,1.79175946922806,3.25809653802148,5.68357976733868,5.68357976733868,3.56372003971375,1.47741623071984,12.0685389687263,8.93577193866978,0.583198080782659,1.18114314080946,1.73758127494342,1.73758127494342,1.2708049542543,2.49060198128117,2.19006253980623
0,2,6,107,386,0,0,1,2,386,66.6258503401361,4.02970597150652,174847,5733,0,1.09861228866811,1.94591014905531,4.68213122712422,5.95842469302978,0,0,0.693147180559945,1.09861228866811,5.95842469302978,4.21399031143341,1.61536152743421,12.0716723040504,8.65416864644332,0.693147180559945,1.79175946922806,4.67282883446191,5.95583736946483,5.95583736946483,4.19909264548353,1.39369341337295,12.0716665847807,8.65399423290838,0.583198080782659,1.54176463442812,1.7843718091207,1.7843718091207,1.43486846516038,2.49086110219586,2.15802097539484
0,2,5,14,143,0,0,1,3,143,19.730247843352,3.10818571011021,174487,7303,0,1.09861228866811,1.79175946922806,2.70805020110221,4.969813299576,0,0,0.693147180559945,1.38629436111989,4.969813299576,3.03159388215779,1.41298149798468,12.0696112503517,8.89617742227481,0.693147180559945,1.6094379124341,2.63905732961526,4.96284463025991,4.96284463025991,2.98215288170687,1.13403918300802,12.0696055192821,8.89604050162011,0.475884995327111,0.970421781277365,1.60197909050574,1.60197909050574,1.0926454832064,2.49069035183153,2.18560629028789
0,3,6,25,522,0,0,2,4,522,46.4207639171069,5.60738543794029,174316,9844,0,1.38629436111989,1.94591014905531,3.25809653802148,6.25958146406492,0,0,1.09861228866811,1.6094379124341,6.25958146406492,3.85906019010486,1.88818802916065,12.0686307597412,9.19471899107323,1.09861228866811,1.79175946922806,3.2188758248682,6.25766758788264,6.25766758788264,3.83774685734826,1.72408455705467,12.0686250230496,9.19461741151095,0.583198080782659,1.16903217588706,1.83380752588808,1.83380752588808,1.34488543849214,2.49060911172312,2.21861824887209
0,2,9,104,757,0,0,0,2,757,86.4761052443172,4.47889915619554,174448,5587,0,1.09861228866811,2.30258509299405,4.65396035015752,6.63068338564237,0,0,0,1.09861228866811,6.63068338564237,4.47136567314755,1.70090419687413,12.069387714297,8.62837672037685,0.693147180559945,2.19722457733622,4.64439089914137,6.62936325343745,6.62936325343745,4.45986813582646,1.49937729216829,12.0693819819462,8.62819774945915,0.787195008176644,1.53566023323503,1.8915087593801,1.8915087593801,1.4951191996367,2.49067183097717,2.15503564776579
0,2,5,22,252,0,0,1,3,252,31.7962276317911,3.32873451124369,174320,6203,0,1.09861228866811,1.79175946922806,3.13549421592915,5.53338948872752,0,0,0.693147180559945,1.38629436111989,5.53338948872752,3.49031349754992,1.46527523861517,12.0686537061785,8.73294952429643,0.693147180559945,1.6094379124341,3.09104245335832,5.52942908751142,5.52942908751142,3.45934765481818,1.20259220511038,12.0686479696185,8.73278832497312,0.475884995327111,1.12850839756175,1.71008457105669,1.71008457105669,1.24108003222402,2.49061101306209,2.16708471461421
0,2,6,35,169,0,0,0,0,169,24.2833957553059,1.1897871754727,174369,2403,0,1.09861228866811,1.94591014905531,3.58351893845611,5.13579843705026,0,0,0,0,5.13579843705026,3.23014788602144,0.783804358956663,12.0689347573115,7.7848892956551,0.693147180559945,1.79175946922806,3.55534806148941,5.12989871492307,5.12989871492307,3.18979281453833,0.173774446988333,12.0689290223636,7.78447323573647,0.583198080782659,1.26845296605453,1.63508591530806,1.63508591530806,1.15995596626693,2.49063430063111,2.05213113899363
0,1,3,8,133,0,0,0,1,133,9.56077738515901,1.33210797667043,174371,2830,0,0.693147180559945,1.38629436111989,2.19722457733622,4.89783979995091,0,0,0,0.693147180559945,4.89783979995091,2.35714689158743,0.846772569590618,12.0689462271087,7.9483852851119,0,1.09861228866811,2.07944154167984,4.89034912822175,4.89034912822175,2.25766904019653,0.286762632399115,12.0689404922266,7.94803199063728,0.0940478276166991,0.732099368086445,1.58726369730255,1.58726369730255,0.814332882883993,2.49063525099361,2.07292434967358
