min.log.penalty,max.log.penalty
-Inf,4.714242
3.167982,Inf
-Inf,4.45166
-Inf,3.985163
2.550911,3.578897
-Inf,3.040384
-Inf,4.341166
-Inf,4.656728
1.43891,4.335392
-Inf,3.55552
2.813008,Inf
-Inf,0.4434556
2.367423,2.586791
2.886473,Inf
-Inf,3.413121
-Inf,4.988586
-Inf,2.554379
-Inf,3.454291
2.000909,Inf
2.409288,3.838695
-Inf,4.283326
1.172903,Inf
2.207345,4.189687
3.189844,Inf
2.575939,Inf
-Inf,6.610875
-Inf,3.667658
1.155449,5.62384
2.251205,Inf
-Inf,4.488523
-Inf,3.994989
2.854309,5.584736
0.6876572,4.523399
-Inf,3.695701
2.053512,Inf
1.350107,2.816909
-Inf,4.239382
0.636371,5.27316
-Inf,4.040134
7.087394,Inf
-Inf,4.005439
2.164064,Inf
-Inf,3.914881
-Inf,4.316082
2.168712,Inf
0.4960562,5.11988
3.180248,Inf
3.450494,Inf
-Inf,4.39014
-Inf,4.057237
2.456883,Inf
1.524309,6.595526
1.720241,5.092457
2.252579,Inf
-Inf,2.722068
-Inf,4.52128
4.131279,Inf
1.684192,2.947992
0.6636803,4.55305
3.274372,Inf
-Inf,3.211514
-Inf,4.172204
2.777174,Inf
2.246746,5.378106
-Inf,2.898825
1.514982,7.525558
