min.log.penalty,max.log.penalty
-Inf,5.44948785859439
-Inf,3.80551926428003
-Inf,4.59600811420164
4.8765536986986,5.92824047398739
-Inf,4.92804594643113
2.97647144395064,4.66187215449717
-Inf,5.36049854956026
3.58459798076782,4.42344385795324
-Inf,4.46992627263047
-Inf,4.97893295082676
-Inf,6.05360721599293
-Inf,4.12574177793955
3.05994871564416,6.54418074444328
3.03427872643126,4.0771476228555
-Inf,5.94956440514257
-Inf,4.89756515436997
3.06909604009619,4.06873212663874
3.72705234903431,3.97282747090809
3.15596782014327,4.31696766084263
4.66365035028262,5.15769145159868
-Inf,4.78243561733691
3.86870501143768,Inf
-Inf,5.93829978956263
-Inf,4.00423282776815
4.02542030801638,5.8174554444886
4.06439601908696,5.23129256651188
-Inf,5.58438574941817
3.77537158119525,4.58593169709573
3.09625857297909,4.18810093559873
-Inf,4.88039800402955
-Inf,4.62299209475097
-Inf,5.47402780271752
4.12768257914387,4.43152606593474
-Inf,4.22380865242279
5.40672939901439,Inf
4.81566667440167,Inf
5.45032585771489,Inf
5.2157154319606,5.53224590255951
6.94594666599792,Inf
-Inf,3.49180262117761
1.65541495713922,3.62528401442465
-Inf,3.8009442805677
-Inf,2.57128280818753
-Inf,3.42100578426467
-Inf,2.99282887909189
2.95615344509649,3.81636900754495
3.03382939168129,5.01282387968716
-Inf,3.88992906108338
-Inf,2.75692719036074
2.87797271144721,Inf
3.22511764950785,Inf
3.57790334218541,Inf
5.77684594119166,Inf
-Inf,3.47979117243184
-Inf,2.6401258718028
-Inf,3.8743596928977
-Inf,2.8292726860255
2.9798353188007,4.44575299820469
-Inf,3.27807387679091
2.03640230955177,3.78108109149057
2.60821695506962,5.6207777656001
2.75764874539839,Inf
-Inf,8.32354399049628
-Inf,4.13710424820648
-Inf,2.32428278233787
-Inf,3.5125259128946
3.69273860139327,Inf
4.66788522041215,Inf
4.03745552933304,Inf
4.17203819584933,Inf
-Inf,3.07621976179826
-Inf,2.24638508665289
-Inf,1.55322704393778
-Inf,2.91899328861328
-Inf,4.81126333874183
-Inf,3.04277834970366
-Inf,2.14161483940228
-Inf,3.13445702077202
3.4430410810072,Inf
2.18385330639074,Inf
-Inf,2.06022776121723
2.34260947804688,4.83637875557653
5.59040805930826,Inf
2.7630504676966,Inf
-Inf,7.35670010877848
1.29308895993429,2.35614614532674
3.84871863199838,Inf
3.97181251271531,Inf
2.29644398193064,3.14472120107163
-Inf,3.5556199285545
1.07605670316093,3.98436565410616
1.61261234404347,3.73462993278434
3.52876177691632,4.73808481789158
2.68663129575849,4.09375870537209
2.19161257421664,Inf
-Inf,3.20474536796731
2.21200647845394,3.25409545406878
1.9491135957058,3.02604964576956
3.31702812359377,Inf
-Inf,2.92545482665019
-Inf,5.34571673708898
2.61961814747479,4.23751881904038
2.79725883314518,Inf
3.70285901767309,Inf
3.70347826006908,6.17835136081357
3.56598813699555,3.73416682554555
2.2811372248342,2.9944878110529
-Inf,2.9539313977938
3.44413172946751,6.28496436316977
3.21735496937274,3.90085292713179
2.80278114531529,8.72843211165107
1.76158098994634,3.99506829816537
-Inf,3.20158497687016
1.77219267042839,3.97808519435712
2.33287630030197,2.66592441683627
-Inf,3.78961475291332
4.0754037588235,Inf
4.28585198431463,Inf
-Inf,3.53444889261918
1.60741885921773,2.93464855609656
-Inf,4.27695314171967
-Inf,2.50423533101834
2.16270535331734,6.9182603987584
-Inf,3.59347882051685
2.46008783903431,7.1567044174554
1.84324349036109,4.0072767337341
4.25974046194108,Inf
3.08832551241446,Inf
-Inf,2.91306576547179
2.4181124340148,6.54780310628005
-Inf,4.54596796641719
-Inf,3.4677256881367
2.54983751354905,Inf
2.10949961058414,Inf
-Inf,2.44626878781725
4.21871406512458,5.71417815557365
-Inf,3.34304148748963
-Inf,3.78938542683402
-Inf,3.43624555971916
1.85048061869797,3.06292537339122
-Inf,3.77363007210565
-Inf,2.58302624791217
-Inf,3.9588240057262
-Inf,2.81741128492744
-Inf,3.53207025511046
-Inf,3.54514627859808
2.44671438626784,Inf
-Inf,3.47285805481576
-Inf,1.76777929756384
-Inf,4.03224501940488
3.52067452761937,4.36980292093408
3.42204327309816,Inf
2.06540767878404,4.30572988083132
4.16851573211859,6.6559080034805
-Inf,2.82743629591684
2.99559638729042,Inf
2.34758211226062,4.15349425293593
3.23133416132559,4.85792651730033
3.43932725966663,3.8587801471972
-Inf,2.87495757314801
2.29552190323936,Inf
4.01227387618979,Inf
-Inf,3.12529164799958
-Inf,3.84548140324212
-Inf,3.5366965792635
4.45765039253957,Inf
3.49798650225971,6.90242440230063
2.53122710128441,3.08872604293707
-Inf,2.40607774717493
4.26038088592189,Inf
3.85685594251314,6.05367160744063
-Inf,2.15015956676925
2.55046227478558,Inf
3.68658831984283,4.8070248310171
-Inf,1.85423455909716
-Inf,2.92340337137639
1.8385717705723,7.20700044733826
2.87242343739149,Inf
3.73802165956353,3.81840938489869
3.00225590672728,4.55106468754209
-Inf,3.41702556498429
-Inf,3.88913326788662
-Inf,2.0733204857685
-Inf,2.07982220113015
4.60442056091141,Inf
-Inf,2.62218682831063
-Inf,3.76833039814198
2.29671197878256,3.44719214931385
-Inf,2.79832329140127
-Inf,2.77789886236859
-Inf,3.15739248314906
-Inf,3.46084712177646
2.98098988687096,7.09465125494466
-Inf,4.95081967842873
3.58691511999686,4.12312930868483
2.24413675876564,2.32678768960582
-Inf,2.11503784068618
3.85738463778193,Inf
-Inf,3.37704143257582
-Inf,3.24784986036424
2.9711779176306,4.45665008410436
-Inf,2.51569658744483
-Inf,2.45322887468635
2.06268059911322,6.02573906668928
2.537468842772,Inf
-Inf,3.18326710164333
2.9773296378923,5.80761134387472
-Inf,3.28443630378904
2.4912945260838,4.78385762786536
-Inf,2.81831423146209
-Inf,3.67096209156025
-Inf,1.85846574309303
2.17851745093628,2.27529179725465
2.15313770586674,Inf
1.26568898765063,2.73488331494458
-Inf,2.72260964169657
-Inf,3.38509914667299
1.95749307130734,Inf
-Inf,2.23747416371734
3.0847404552719,4.3746414001964
2.68842179089135,Inf
-Inf,2.07453046505655
1.45065199923356,7.11008035350067
-Inf,2.48456790023659
-Inf,1.36730187732955
3.60647676037302,Inf
-Inf,2.06093753432768
1.92008422414413,2.77033990528307
-Inf,2.75291875510074
2.83116398793245,Inf
3.83191439824622,Inf
-Inf,2.32027073091734
2.67194745786526,4.85995587981034
1.6734503030148,4.15036754801001
-Inf,2.8868674391915
-Inf,3.18032350680515
1.25110157805257,2.86462904245367
-Inf,5.59946783748009
4.51223000812017,Inf
3.22960846118413,4.94779147834652
3.68136161618163,Inf
1.36928152126838,3.79004114908968
3.05683130847276,Inf
2.57458158052039,2.79917552945715
-Inf,2.51520585956307
1.74105362525031,1.8303764068827
1.67641502892649,2.46706099479171
1.26157122681858,Inf
1.8486028406784,5.39153698771596
1.53076024349177,5.4823120755545
2.22506704912979,2.61063762255829
1.83843428982006,2.68420531837143
2.25824876852198,3.56145782280131
2.33985950795519,5.51394728679574
2.7589971696055,3.6845632606188
-Inf,3.02516866595518
2.9232926403444,2.96669281398009
-Inf,4.35289650351353
4.18046223053072,Inf
3.14739163692237,3.25812543038934
2.08135446994585,4.32757528898904
-Inf,3.16051207354077
-Inf,2.70155141166951
1.79058364280617,2.81741424138161
1.73722835829005,6.0599950992335
-Inf,3.90809332781496
-Inf,4.9153628319608
-Inf,3.57124020317158
2.54646444473514,4.50758993813851
-Inf,4.25902763604499
-Inf,4.69095270735063
3.22837201536382,3.75778058012523
-Inf,5.32921493959314
3.01504315980009,4.43341335872206
2.91580396050188,5.78753095665668
2.7711905900207,4.93290860761637
-Inf,5.5350925232305
-Inf,5.01545167116429
-Inf,3.84866482781815
-Inf,4.87566079225526
-Inf,4.81024398471495
-Inf,3.72371629724085
2.96666865864914,4.61923271163346
-Inf,5.5867466933505
-Inf,4.56905507300302
3.8268593017798,Inf
3.59165803944651,4.01690183486926
-Inf,3.96091878200101
-Inf,5.23669250880071
-Inf,6.67931331726473
3.51325574614663,3.90894088943521
2.80047936205932,8.94400913109296
2.21260748029891,4.66438991748203
-Inf,4.33024974229436
4.12152574448099,Inf
-Inf,4.88894009500565
-Inf,4.34648759975902
-Inf,3.88895287984477
-Inf,4.14689708136302
-Inf,4.79823779555144
-Inf,4.55003007765905
3.27739657886734,5.47439457320146
-Inf,4.94643991010728
-Inf,4.35404890289785
-Inf,5.53192679800314
-Inf,5.19845388671225
3.61827733417826,5.78054896805909
3.44095892157987,5.07769560027832
4.74620187364908,5.49852875523355
3.21331720783483,5.52991961497922
3.96956703038721,4.96459790861094
-Inf,6.30465951014008
3.6329303737273,4.28716372096172
-Inf,4.66927694529561
-Inf,4.54508632644292
3.33365558197263,4.50052583190308
4.79739010652217,4.90051910341021
-Inf,6.32579695341426
3.69096319397973,3.78919706158129
-Inf,3.68181468012923
6.22009053118063,Inf
-Inf,5.93395795286222
3.37807064414815,4.62924228017313
