min.log.penalty,max.log.penalty
4.93925506592079,Inf
5.21726786401033,9.0133838273032
-Inf,6.05798553994121
5.22941564193366,Inf
-Inf,5.14206282122848
4.31720788814434,4.95922480408788
-Inf,4.75005108139301
2.82784623163568,8.73211280902272
5.03658502305497,5.36770638290155
4.24969947240503,Inf
-Inf,4.95403346252181
4.74307316826424,Inf
-Inf,7.51048488155543
4.89557553931979,5.35012672748287
3.41073077458234,8.9690574258618
2.16511118819639,4.72329135656907
-Inf,4.46096901247499
-Inf,3.96544540492925
-Inf,5.55679714680002
-Inf,5.33156359523897
3.24222964386203,4.07626128753872
2.80326201821049,4.48075131072912
5.42034179460897,Inf
4.16105942303634,Inf
3.92542830317654,Inf
4.96194553589184,9.82041260639409
5.66425230389443,8.61098339849782
5.02932815616521,9.96975051292129
5.27469713366592,10.1031930779246
